row_index,institution,query_exact_name,matched_exact_name,score,ein_filled
12739,Ceta Canyon Camp and Retreat Center,cetacanyoncampandretreatcenter,cetacanyoncampretreatcenter,94.73684210526316,750939943
12744,Manitoqua Ministries,manitoquaministries,manitoquaministriesinc,92.6829268292683,362675347
12748,Operation Second Chance,operationsecondchance,operationsecondchanceinc,93.33333333333333,202624345
12749,National Cancer Assistance Foundation,nationalcancerassistancefoundation,nationalcancerassistancefoundationinc,95.77464788732395,264277380
12761,Pecometh United Methodist Camp and Retreat Ministries,pecomethunitedmethodistcampandretreatministries,pecomethunitedmethodistcampandretreatministriesinc,96.90721649484536,271572670
12768,Osprey Wilds Environmental Learning Center (ACNW),ospreywildsenvironmentallearningcenteracnw,ospreywildsenvironmentallearningcenter,95.0,237044164
12769,Miracle Camp and Retreat Center,miraclecampandretreatcenter,miraclecampandretreatcenterinc,94.73684210526316,381840807
12774,Victory Ministries of Alaska,victoryministriesofalaska,victoryministriesofalaskainc,94.33962264150944,920143034
12778,Murray Hill Place,murrayhillplace,murrayhillplaceinc,90.9090909090909,133542148
12779,The Leir Retreat Center,theleirretreatcenter,theleirretreatcenterinc,93.02325581395348,134313639
12781,Camp Sunshine at Sebago Lake,campsunshineatsebagolake,campsunshineatsebagolakeinc,94.11764705882352,222582877
12784,Wind River Ministries,windriverministries,windriverministriesinc,92.6829268292683,752737796
12785,Joy El Ministries,joyelministries,joyministries,92.85714285714286,205093560
12788,American Friends of Netiv Aryeh,americanfriendsofnetivaryeh,americanfriendsofnetivaryehinc,94.73684210526316,134258585
12789,Stephen and Laurel Brown Foundation,stephenandlaurelbrownfoundation,stephenandlaurelbrownfoundationinc,95.38461538461537,462022174
12791,Whispering Winds Catholic Conference Center,whisperingwindscatholicconferencecenter,whisperingwindscatholicconferencecenterinc,96.2962962962963,953407343
12792,SeekersGuidance,seekersguidance,seekersguidanceinc,90.9090909090909,271124384
12794,Jae Foundation,jaefoundation,jaezfoundation,96.2962962962963,331521719
12801,Lutherhaven Ministries,lutherhavenministries,lutherhavenministriesinc,93.33333333333333,916000231
12808,Institute for jewish Spirituality,instituteforjewishspirituality,instituteforjewishspiritualityinc,95.23809523809523,364531559
12809,Isralight South Florida,isralightsouthflorida,isralightsouthfloridainc,93.33333333333333,650915662
12814,Timber-lee Ministries,timberleeministries,timleeministries,91.42857142857143,731268199
12816,United Camps Conferences and Retreats,unitedcampsconferencesandretreats,unitedcampsconferencesandretreatsinc,95.65217391304348,941711424
12819,Bellarmine Jesuit Retreat House,bellarminejesuitretreathouse,bellarminejesuitretreathouseinc,94.91525423728814,463137120
12822,Lighthouse Family Retreat,lighthousefamilyretreat,lighthousefamilyretreatinc,93.87755102040816,582509728
12828,Forest Springs Camp and Conference Center,forestspringscampandconferencecenter,forestspringscampandconferencecenterinc,96.0,391249982
12830,Standing Stone Ministries,standingstoneministries,standingstoneministriesinc,93.87755102040816,455319818
12835,NC United Methodist Camp and Retreat Ministries,ncunitedmethodistcampandretreatministries,ncunitedmethodistcampretreatministriesinc,92.6829268292683,562138935
12845,Bent Tree Community,benttreecommunity,benttreecommunityinc,91.89189189189189,581532300
12850,The Lodges at Banning Mills Retreat and Conservation Center,thelodgesatbanningmillsretreatandconservationcenter,thelodgesatbanningmillsretreatconservationcenterinc,94.11764705882352,300279902
12852,The Camp Cole Foundation,thecampcolefoundation,thecampcolefoundationinc,93.33333333333333,821387411
12855,Hermitage Members Club,hermitagemembersclub,hermitagemembersclubinc,93.02325581395348,850829370
12856,The Eagle Sky Foundation,theeagleskyfoundation,theeaglesfoundation,95.0,833685352
12857,Second Wind Programs,secondwindprograms,secondwindprogramsinc,92.3076923076923,680174970
12860,Summit Ministries,summitministries,summitministriesinc,91.42857142857143,730792333
12867,Vermont College of Fine Arts (VCFA),vermontcollegeoffineartsvcfa,vermontcollegeoffineartsinc,90.9090909090909,208384273
12869,Advent Christian Village (ACV),adventchristianvillageacv,adventchristianvillageinc,92.0,590751905
